0000000000100000100001000	0010000010100000000001000	0	2	1	4	192	341780
0100000000001000010000100	0100011000001100000000100	1	0	2	4	83	656699
0000000000000000000000000	0000000000000000000000000	0	0	0	0	214290	52,04515311
1000010000100001000001000	1000001100000100000000100	2	4	0	0	143	
0000000000000001000000001	0000000000000001100000111	0	3	4	4	91	
0000010000000000100000000	0100010100000100000000100	0	1	2	4	117	
0001000010000100000100001	0001000000000001100000111	4	4	3	0	181	
0000111111000000000000000	0011111000000000000000000	0	1	4	0	92	
0011111100000000000000000	0011111000000000000000000	0	1	4	0	131	
0000100000000100001000010	0000100000000000011011010	3	4	4	0	92	
1000011000010000110000100	1000001100000100000000100	0	0	2	4	140	
0100001000010001100011000	0111011000000000000010000	0	4	1	0	91	
0000000000110000011000001	0000000000100000110000011	0	2	4	4	92	
0000000000000001000010000	0001000000000001000010000	0	3	0	4	2003	
0000000000000000001111110	0000000000000000011111000	0	4	4	3	164	
0000000000000000000101111	0000000000000000011101000	1	4	4	3	181	
0000011000111110000000000	0000011000001110000000000	0	1	4	2	92	
0000000000000001100000100	0000000000000001000001100	0	3	2	4	149	
0000000010000000000100000	0001000000000001000101100	4	3	3	0	93	
0000000000000001111100111	0000000000000001100000111	0	3	4	4	93	
0000000000000001111100011	0000000000000001100000111	0	3	4	4	93	
0000100001000110001100011	0000100000000000011011010	3	4	4	0	140	
1111000111000000000000000	1100000111000000000000000	0	0	4	1	124	
0000000000100001100001110	0000000000100000100000110	0	2	3	4	131	
0000010000010000010000010	0000010000010000010000010	0	1	3	4	202	
0000000000111000000100000	0000000000110000011100000	0	2	4	3	93	
0000000000000000011111111	0000000000000000011111000	0	4	4	3	164	
0010100000000000000000000	0011100000000000000000000	2	0	4	0	103	
0000000011110000000000000	0000000111110000000000000	0	2	4	1	141	
0000000001000000000000001	0000000001000000000001111	4	4	4	1	93	
0011011000100000000000000	0011001000100000000000000	0	2	3	0	91	
0100000110000010000000000	0100000100000110000000000	1	0	4	2	93	
0000100000000001000001000	0000000000000001000001000	0	3	1	4	93	
0001000000000010000000000	0001000000000011000001000	3	0	4	2	204	
1110000011000000000000000	1100000111000000000000000	0	0	4	1	117	
0011110000000000000000000	0011111000000000000000000	0	1	4	0	93	
0000000000111110000100000	0000000000110000011100000	0	2	4	3	94	
0011001100110001000000000	0011001000100000000000000	0	2	3	0	182	
0100001000000000010000100	0100011000001100000000100	1	0	2	4	94	
0000001100000010000000000	0000011000001110000000000	0	1	4	2	91	
0001000110001000010000100	0001000000001101100000100	2	4	3	0	94	
0011011000000000000000000	0111010000000000000000000	0	1	3	0	132	
0000011000000110000000000	0000011000001110000000000	0	1	4	2	125	
0000100010001000100010000	0000100010001000100010000	0	4	4	0	141	
0010000100001000010001000	0010000110110000000001000	1	4	2	0	143	
0000000000000000000011000	0000000000000000000011000	0	4	1	4	2047	
1111000011000000000000000	1100000111000000000000000	0	0	4	1	150	
0000000000000001110000011	0000000000000001100000111	0	3	4	4	94	
0100001000100000000000000	0100010000100000000000000	0	2	1	0	183	
0110000110000010000000000	0100000100000110000000000	1	0	4	2	91	
0000101100000000000000000	0001101100100000000000000	0	2	4	0	95	
0000000000000010000100001	0000000000000010000000111	4	4	4	2	957	
0000001110000000000000000	0000011111000000000000000	0	1	4	1	165	
0000000000000011000000000	0000000000001111100000000	0	3	4	2	81	
0000000000000100000000001	0010000000100000110000011	4	4	2	0	90	
0000000000000000010000010	0000000000100000100000110	3	4	0	2	162	
0000000000000010011111100	0000000000000110110010000	0	4	4	2	124	
0000000000000001110001111	0000000000000001100000111	0	3	4	4	140	
0100011000110001000010000	0111011000000000000010000	0	4	1	0	90	
0011000100011000100011000	0001000100010001000010000	0	4	3	0	81	
0000010000110000110000110	0000010000010000010000010	0	1	3	4	179	
0000000000111110011100000	0000000000110000011100000	0	2	4	3	90	
1100000110000010000000000	1000001100000110000000000	0	0	4	2	105	
0100001000010000100001000	0100011110000000000001000	1	0	1	4	1487	
0100001000011000010000100	0100011000001100000000100	2	4	1	0	155	
0001000001000010000100000	0001000000000001000101100	3	0	4	3	162	
0001000100001000010001000	0001000010011001000001000	1	4	3	0	90	
0000000000100001110000110	0000000000100000100000110	0	2	3	4	90	
0000011111001110000000000	0000011000001110000000000	0	1	4	2	90	
0000000100001000010000000	0010000000111100000000100	2	4	2	0	90	
0000010000100001100001000	0100010110000000000001000	0	1	1	4	199	
1000001000001000001000001	1000001000001000001000001	0	0	4	4	149	
0000000000111100011100000	0000000000110000011100000	0	2	4	3	81	
0000000000000010110000000	0000000000001111100000000	0	3	4	2	91	
0111011000100000000000000	0011001000100000000000000	0	2	3	0	102	
0001000001000010000100001	0001000000000001100000111	3	0	4	4	149	
0010000100001100001000010	0010000000110000011000010	2	0	3	4	163	
0111111100000000000000000	0011111000000000000000000	0	1	4	0	130	
0110001100010000100001000	0010000110110000000001000	1	4	2	0	91	
0000000000100000100001100	0000000000100000100000100	0	2	2	4	104	
